,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0,42.0592827796936,3.365721953957589,0.8105849424997965,0.1390690337924379,0.6,0.01,3,300,10,0.2,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'reg_lambda': 10, 'subsample': 0.2}",-0.007525925524532795,-0.007800386752933264,-0.007584984414279461,-0.0076370988972485065,0.00011795247906147568,80,-0.0075208223424851894,-0.0073487162590026855,-0.007646835409104824,-0.0075054580035309,0.00012219057273519393
1,66.67580890655518,3.9207799925731583,0.9127992788950602,0.16284929791219446,0.6,0.01,3,300,10,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'reg_lambda': 10, 'subsample': 0.6}",-0.007490442134439945,-0.007752643432468176,-0.007534937467426062,-0.007592674344778061,0.00011456450999820179,79,-0.00744189228862524,-0.007258763071149588,-0.00755706150084734,-0.007419238953540723,0.0001228287927235162
2,58.68949182828268,1.6133178918412716,0.663668711980184,0.06545715931827256,0.6,0.01,3,300,10,1.0,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'reg_lambda': 10, 'subsample': 1.0}",-0.007633070461452007,-0.007877210155129433,-0.007526923902332783,-0.007679068172971408,0.00014665596208666073,81,-0.0075439102947711945,-0.007364700548350811,-0.007522928062826395,-0.0074771796353161335,7.999467593850971e-05
3,56.859986543655396,3.6412789492730737,1.0762933095296223,0.1827150759709897,0.6,0.01,3,400,10,0.2,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 400, 'reg_lambda': 10, 'subsample': 0.2}",-0.005288384854793549,-0.005626359023153782,-0.005283989943563938,-0.0053995779405037565,0.00016036847860914432,72,-0.005288696847856045,-0.005142273381352425,-0.005338345654308796,-0.0052564386278390884,8.323272042719023e-05
4,84.9577755133311,1.570668203237494,1.1352547804514568,0.1380798797617589,0.6,0.01,3,400,10,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 400, 'reg_lambda': 10, 'subsample': 0.6}",-0.00527785811573267,-0.005603828467428684,-0.005282198078930378,-0.005387961554030578,0.00015265124094955513,70,-0.005232848227024078,-0.005074492190033197,-0.0052956328727304935,-0.005200991096595923,9.304822389597746e-05
5,83.89707740147908,1.5027263859190347,1.0492992401123047,0.34780155032901683,0.6,0.01,3,400,10,1.0,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 400, 'reg_lambda': 10, 'subsample': 1.0}",-0.00531299551948905,-0.005617551971226931,-0.005239120218902826,-0.005389889236539602,0.00016378264169962346,71,-0.005232512950897217,-0.005065317265689373,-0.005217007361352444,-0.005171612525979678,7.5428189235062e-05
6,68.95839484532674,5.37295605462601,1.8154383500417073,0.4065478238824445,0.6,0.01,3,500,10,0.2,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500, 'reg_lambda': 10, 'subsample': 0.2}",-0.004332284443080425,-0.0046785688027739525,-0.00430529098957777,-0.00443871474514405,0.00016996007051490395,69,-0.004329831339418888,-0.004190077073872089,-0.004345193039625883,-0.004288367150972287,6.978395183509587e-05
7,103.84479594230652,7.746372568783047,1.158389409383138,0.10617493201582533,0.6,0.01,3,500,10,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500, 'reg_lambda': 10, 'subsample': 0.6}",-0.00432429276406765,-0.004670661874115467,-0.00429855240508914,-0.004431169014424086,0.00016967275150015973,68,-0.004274978768080473,-0.004133846610784531,-0.004295049700886011,-0.004234625026583672,7.173064154255377e-05
8,104.0199966430664,4.130763313477487,1.419773817062378,0.3860370883239128,0.6,0.01,3,500,10,1.0,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500, 'reg_lambda': 10, 'subsample': 1.0}",-0.004334039054811001,-0.004655752796679735,-0.004290769807994366,-0.004426853886495034,0.0001628170552958702,67,-0.004247802309691906,-0.0040909526869654655,-0.004249693360179663,-0.004196149452279012,7.438935225022349e-05
9,66.05245320002238,2.966630274837527,2.057748238245646,0.4858466227672131,0.6,0.01,5,300,10,0.2,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'reg_lambda': 10, 'subsample': 0.2}",-0.006096975412219763,-0.006327243056148291,-0.00620057201012969,-0.0062082634928325815,9.416356740525313e-05,78,-0.005923348478972912,-0.005829366855323315,-0.006049237214028835,-0.005933984182775021,9.0076198505666e-05
10,102.54779434204102,4.839186496332413,1.7980750401814778,0.22401884405461064,0.6,0.01,5,300,10,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'reg_lambda': 10, 'subsample': 0.6}",-0.005833429284393787,-0.006051826290786266,-0.005958244204521179,-0.005947833259900411,8.946360126226996e-05,76,-0.005541720427572727,-0.005469166673719883,-0.00569054763764143,-0.005567144912978013,9.214910431939828e-05
