,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0,37.90385842323303,0.6181847002332542,0.7250245412190756,0.09267527598651756,0.6,0.01,3,300,10,0.2,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'reg_lambda': 10, 'subsample': 0.2}",-0.007152289152145386,-0.007094286382198334,-0.007029377855360508,-0.007091984463234742,5.0204719847980305e-05,80,-0.006922428496181965,-0.006968948990106583,-0.0069846524856984615,-0.006958676657329003,2.6420911331207257e-05
1,62.19236922264099,2.859250914213851,0.7401502132415771,0.19703038569402115,0.6,0.01,3,300,10,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'reg_lambda': 10, 'subsample': 0.6}",-0.007116825319826603,-0.007066990248858929,-0.006993734743446112,-0.007059183437377214,5.055381441298409e-05,79,-0.0068346671760082245,-0.006893448531627655,-0.00690488051623106,-0.0068776654079556465,3.0760456552163964e-05
2,60.9955997467041,3.5023666502873114,0.8033818403879801,0.2633581158550159,0.6,0.01,3,300,10,1.0,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'reg_lambda': 10, 'subsample': 1.0}",-0.00716699892655015,-0.007114239037036896,-0.007054035551846027,-0.007111757838477691,4.615046598431156e-05,81,-0.006857092492282391,-0.006909382529556751,-0.006941101048141718,-0.006902525356660287,3.463740732687169e-05
3,52.017908334732056,1.3699610892218221,0.9960988362630209,0.10118187001913781,0.6,0.01,3,400,10,0.2,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 400, 'reg_lambda': 10, 'subsample': 0.2}",-0.004980679601430893,-0.004940771497786045,-0.004873155616223812,-0.004931535571813583,4.437963943919726e-05,71,-0.004756833426654339,-0.00480679702013731,-0.004809345584362745,-0.004790992010384798,2.417616493926593e-05
4,78.78472622235616,1.3233411456576745,0.8230391343434652,0.031209971147081617,0.6,0.01,3,400,10,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 400, 'reg_lambda': 10, 'subsample': 0.6}",-0.004978600423783064,-0.004951330833137035,-0.004865375347435474,-0.0049317688681185246,4.8249230287597665e-05,72,-0.004702128469944,-0.004759336821734905,-0.004757661372423172,-0.004739708888034026,2.6582170095321272e-05
5,82.977543592453,2.47080054568738,0.9195138613382975,0.06755755932527298,0.6,0.01,3,400,10,1.0,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 400, 'reg_lambda': 10, 'subsample': 1.0}",-0.004905827809125185,-0.004873109050095081,-0.0047950237058103085,-0.004857986855010192,4.648223973370587e-05,70,-0.004606614354997873,-0.004647193942219019,-0.0046647777780890465,-0.004639528691768646,2.4355875331849714e-05
6,66.94202200571696,1.9655262751660685,1.532892068227132,0.26797793636195166,0.6,0.01,3,500,10,0.2,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500, 'reg_lambda': 10, 'subsample': 0.2}",-0.00397936487570405,-0.003949629608541727,-0.0038852901197969913,-0.0039380948680142564,3.926238746366323e-05,68,-0.0037618749774992466,-0.0038122665137052536,-0.003807324916124344,-0.0037938221357762814,2.267995499916679e-05
7,105.24021005630493,3.8231228470320553,1.470138152440389,0.14546617874517487,0.6,0.01,3,500,10,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500, 'reg_lambda': 10, 'subsample': 0.6}",-0.003984266892075539,-0.003965428564697504,-0.0038855578750371933,-0.003945084443936746,4.27884715650944e-05,69,-0.0037123747169971466,-0.0037625047843903303,-0.0037610314320772886,-0.003745303644488255,2.329203570673319e-05
8,101.08929403622945,1.4730351654532834,1.1763617197672527,0.15161565576893468,0.6,0.01,3,500,10,1.0,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500, 'reg_lambda': 10, 'subsample': 1.0}",-0.00398888299241662,-0.003943037707358599,-0.003881211159750819,-0.0039377106198420124,4.411794255900948e-05,67,-0.0036889605689793825,-0.003704555332660675,-0.0037361574359238148,-0.0037098911125212908,1.9633966696914557e-05
9,67.72023344039917,1.4734932817147095,1.9045519828796387,0.2659525856730753,0.6,0.01,5,300,10,0.2,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'reg_lambda': 10, 'subsample': 0.2}",-0.00590601796284318,-0.005834398325532675,-0.005804235581308603,-0.005848217289894819,4.268595498712416e-05,78,-0.005554612725973129,-0.005583418998867273,-0.00559088122099638,-0.005576304315278928,1.5637880818375963e-05
10,103.58732382456462,5.685188529628441,1.9361903667449951,0.1887246415315109,0.6,0.01,5,300,10,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'reg_lambda': 10, 'subsample': 0.6}",-0.005652485881000757,-0.005562874488532543,-0.00555470772087574,-0.005590022696803014,4.429379985642083e-05,75,-0.00518731027841568,-0.005206089001148939,-0.005231134127825499,-0.005208177802463372,1.795187571391914e-05
