,target,params
26,-0.002464172247068223,"{'colsample_bytree': 0.7738862945780517, 'learning_rate': 0.07813452407216763, 'max_depth': 9.467897656423776, 'n_estimators': 417.73477228989935, 'reg_lambda': 23.38357417707212, 'subsample': 0.9120792065937646}"
27,-0.002466342201197354,"{'colsample_bytree': 0.8469276688077009, 'learning_rate': 0.04880195149418183, 'max_depth': 9.885741557124, 'n_estimators': 353.47688242912886, 'reg_lambda': 29.117643900734446, 'subsample': 0.6171014478173862}"
28,-0.002491323415514371,"{'colsample_bytree': 0.7008861825187247, 'learning_rate': 0.08856860423640758, 'max_depth': 9.946715335854297, 'n_estimators': 417.08304159434175, 'reg_lambda': 29.79410293245372, 'subsample': 0.9025589784976}"
29,-0.002336626444959905,"{'colsample_bytree': 0.9431146762727847, 'learning_rate': 0.0751962893159173, 'max_depth': 3.878325029615065, 'n_estimators': 392.0483339393204, 'reg_lambda': 29.07587278933705, 'subsample': 0.9565005447733141}"
30,-0.002341504768626793,"{'colsample_bytree': 0.851717769621316, 'learning_rate': 0.08548797521640515, 'max_depth': 3.092680955360419, 'n_estimators': 394.1501482913471, 'reg_lambda': 24.14045600944207, 'subsample': 0.932079539966074}"
31,-0.0023761350584909765,"{'colsample_bytree': 0.8297017758404199, 'learning_rate': 0.08318137807769665, 'max_depth': 3.1732407863618843, 'n_estimators': 387.97209738943434, 'reg_lambda': 24.185000777434702, 'subsample': 0.3836887096900095}"
32,-0.00250340129813768,"{'colsample_bytree': 0.7103420151567379, 'learning_rate': 0.06843253283204258, 'max_depth': 7.89261592269988, 'n_estimators': 386.06391644222725, 'reg_lambda': 29.635310209672923, 'subsample': 0.37153746043978286}"
33,-0.0024107475851209968,"{'colsample_bytree': 0.7972154737543481, 'learning_rate': 0.05752104305817684, 'max_depth': 3.2404375495824516, 'n_estimators': 392.91907208284664, 'reg_lambda': 16.751931915866688, 'subsample': 0.4903764849041841}"
34,-0.0023793820263379676,"{'colsample_bytree': 0.8191606540306051, 'learning_rate': 0.09119445351935569, 'max_depth': 8.201462023796825, 'n_estimators': 391.71745056000003, 'reg_lambda': 23.709043472096546, 'subsample': 0.8658057363210441}"
35,-0.0035539680212069258,"{'colsample_bytree': 0.9563395004410602, 'learning_rate': 0.012095051605287729, 'max_depth': 9.98493581288551, 'n_estimators': 330.3508087279424, 'reg_lambda': 29.523263856857604, 'subsample': 0.42367639429656445}"
36,-0.0023785513528456937,"{'colsample_bytree': 0.9759286630078856, 'learning_rate': 0.09470952052163044, 'max_depth': 8.448699402193544, 'n_estimators': 398.4253165418186, 'reg_lambda': 10.458990751540732, 'subsample': 0.36946002528237093}"
37,-0.0023691895229039734,"{'colsample_bytree': 0.9790360924229118, 'learning_rate': 0.09333168083332732, 'max_depth': 7.811430705160819, 'n_estimators': 390.8490311331153, 'reg_lambda': 10.403760402505632, 'subsample': 0.7640216816196042}"
38,-0.0025738620353641466,"{'colsample_bytree': 0.7406634469170787, 'learning_rate': 0.046489558515250835, 'max_depth': 9.474785476076498, 'n_estimators': 393.5262397260863, 'reg_lambda': 16.40276608652337, 'subsample': 0.6573638064000573}"
39,-0.002653960375718384,"{'colsample_bytree': 0.7659211109438393, 'learning_rate': 0.03323063522496208, 'max_depth': 3.41857770443531, 'n_estimators': 402.93162321209826, 'reg_lambda': 10.145333823652985, 'subsample': 0.5750036483859207}"
40,-0.0030820144708562417,"{'colsample_bytree': 0.99, 'learning_rate': 0.01, 'max_depth': 3.0, 'n_estimators': 386.6962473533577, 'reg_lambda': 10.0, 'subsample': 0.2}"
41,-0.0024527838144170204,"{'colsample_bytree': 0.90725269146602, 'learning_rate': 0.0867076778188489, 'max_depth': 9.811930407887036, 'n_estimators': 416.9450952128148, 'reg_lambda': 10.118536571401293, 'subsample': 0.8510093187441952}"
42,-0.002662369075786006,"{'colsample_bytree': 0.7249601654588189, 'learning_rate': 0.029448698398889632, 'max_depth': 3.746543900558194, 'n_estimators': 418.9991392694616, 'reg_lambda': 14.501423709028348, 'subsample': 0.40457128505675083}"
43,-0.002352232377488777,"{'colsample_bytree': 0.87198670652197, 'learning_rate': 0.07544175296995517, 'max_depth': 3.8069730505570973, 'n_estimators': 354.43525404744247, 'reg_lambda': 23.523107945531734, 'subsample': 0.9403261033213701}"
44,-0.0031093675478643576,"{'colsample_bytree': 0.7823964927856497, 'learning_rate': 0.02133116754051101, 'max_depth': 9.92514808552714, 'n_estimators': 353.03510801095047, 'reg_lambda': 21.033493907859672, 'subsample': 0.26069045120652423}"
