,trainning_time_consume(s),train_loss_record,test_loss_record,test_time_consume(s)
0,0.2205965518951416,7.22926664352417,0.1503399945795536,0.020743370056152344
1,0.4410240650177002,7.2505011558532715,0.1503399945795536,0.020743370056152344
2,0.6630706787109375,6.08579683303833,0.1503399945795536,0.020743370056152344
3,0.8850662708282471,6.1479811668396,0.1503399945795536,0.020743370056152344
4,1.1103887557983398,5.509022235870361,0.1503399945795536,0.020743370056152344
5,1.3308629989624023,5.654462814331055,0.1503399945795536,0.020743370056152344
6,1.5422306060791016,6.566062927246094,0.1503399945795536,0.020743370056152344
7,1.7612097263336182,6.515464782714844,0.1503399945795536,0.020743370056152344
8,1.981154441833496,6.2306227684021,0.1503399945795536,0.020743370056152344
9,2.2010374069213867,6.788252830505371,0.1503399945795536,0.020743370056152344
10,2.422210216522217,6.515733242034912,0.1503399945795536,0.020743370056152344
11,2.6450674533843994,5.548157215118408,0.1503399945795536,0.020743370056152344
12,2.869319438934326,5.580048561096191,0.1503399945795536,0.020743370056152344
13,3.090881824493408,6.49458646774292,0.1503399945795536,0.020743370056152344
14,3.316422939300537,6.0595245361328125,0.1503399945795536,0.020743370056152344
15,3.536766767501831,6.9602460861206055,0.1503399945795536,0.020743370056152344
16,3.7524192333221436,6.655754566192627,0.1503399945795536,0.020743370056152344
17,3.96980881690979,6.529911518096924,0.1503399945795536,0.020743370056152344
18,4.182915687561035,6.649364471435547,0.1503399945795536,0.020743370056152344
19,4.396526336669922,5.919973850250244,0.1503399945795536,0.020743370056152344
20,4.609299898147583,5.464606761932373,0.1503399945795536,0.020743370056152344
21,4.8210608959198,5.865725994110107,0.1503399945795536,0.020743370056152344
22,5.029800653457642,7.349259853363037,0.1503399945795536,0.020743370056152344
23,5.247808218002319,5.823966026306152,0.1503399945795536,0.020743370056152344
24,5.466757297515869,5.6037421226501465,0.1503399945795536,0.020743370056152344
25,5.6901373863220215,7.266389846801758,0.1503399945795536,0.020743370056152344
26,5.911720037460327,5.275291442871094,0.1503399945795536,0.020743370056152344
27,6.1373374462127686,6.856292247772217,0.1503399945795536,0.020743370056152344
28,6.356062650680542,4.90001916885376,0.1503399945795536,0.020743370056152344
29,6.5811989307403564,6.070199012756348,0.1503399945795536,0.020743370056152344
