,target,params
26,-0.0011575494427233934,"{'colsample_bytree': 0.6696131158470044, 'learning_rate': 0.0427137051126984, 'max_depth': 4.317547173608004, 'n_estimators': 415.1672310031953, 'reg_lambda': 16.157760503158915, 'subsample': 0.741838733583392}"
27,-0.0032427990809082985,"{'colsample_bytree': 0.6202889954467139, 'learning_rate': 0.010989553448482887, 'max_depth': 8.536065963695197, 'n_estimators': 388.6938320990888, 'reg_lambda': 19.393337202314697, 'subsample': 0.6161965935501017}"
28,-0.001157266553491354,"{'colsample_bytree': 0.6564962067939114, 'learning_rate': 0.07402272751730234, 'max_depth': 3.683034857400858, 'n_estimators': 423.2998684933007, 'reg_lambda': 12.915766705362145, 'subsample': 0.26257622720255275}"
29,-0.001189927919767797,"{'colsample_bytree': 0.7100534315944896, 'learning_rate': 0.035625693805627495, 'max_depth': 5.2515428196754375, 'n_estimators': 415.8314916259725, 'reg_lambda': 13.567278712389841, 'subsample': 0.8720400093091676}"
30,-0.0008716214215382934,"{'colsample_bytree': 0.987007600839951, 'learning_rate': 0.027244912971312013, 'max_depth': 8.998708337716158, 'n_estimators': 420.33138988152075, 'reg_lambda': 12.24558917612084, 'subsample': 0.7488389687168522}"
31,-0.0009717585635371506,"{'colsample_bytree': 0.7907620484580047, 'learning_rate': 0.08352412757843078, 'max_depth': 6.2695638414523405, 'n_estimators': 469.8353936781257, 'reg_lambda': 26.148217963958736, 'subsample': 0.7949677553531036}"
32,-0.0011065811850130558,"{'colsample_bytree': 0.738917028737359, 'learning_rate': 0.04960070900612608, 'max_depth': 9.956995073109818, 'n_estimators': 417.7804640738084, 'reg_lambda': 14.594507066243184, 'subsample': 0.2543604231748023}"
33,-0.0012511098757386208,"{'colsample_bytree': 0.6340913844167354, 'learning_rate': 0.07589378795220339, 'max_depth': 9.464795146219556, 'n_estimators': 423.5392248475651, 'reg_lambda': 12.258795983023171, 'subsample': 0.5065296035680033}"
34,-0.0011334815062582493,"{'colsample_bytree': 0.7079288732198946, 'learning_rate': 0.05856413983432981, 'max_depth': 8.552566793502288, 'n_estimators': 419.06785696278297, 'reg_lambda': 20.75810831328371, 'subsample': 0.8123089472267297}"
35,-0.0009207878611050546,"{'colsample_bytree': 0.9882044219342287, 'learning_rate': 0.039601449546818934, 'max_depth': 7.26074229374828, 'n_estimators': 470.87694638709996, 'reg_lambda': 29.23965522365689, 'subsample': 0.3681277611762348}"
36,-0.0010318781714886427,"{'colsample_bytree': 0.7514400500194204, 'learning_rate': 0.04881325401806916, 'max_depth': 9.836967287142508, 'n_estimators': 420.1662270405715, 'reg_lambda': 10.065376515864948, 'subsample': 0.43014500666629596}"
37,-0.001393676269799471,"{'colsample_bytree': 0.8981976961152088, 'learning_rate': 0.013604604450334994, 'max_depth': 5.022873468805862, 'n_estimators': 468.5461736531865, 'reg_lambda': 28.629874099685033, 'subsample': 0.2492909088069226}"
38,-0.0009707516292110085,"{'colsample_bytree': 0.9187208434037438, 'learning_rate': 0.054642447257586706, 'max_depth': 7.174297930057391, 'n_estimators': 473.1924613267912, 'reg_lambda': 27.912055100943938, 'subsample': 0.9722809133513601}"
39,-0.0013454637955874205,"{'colsample_bytree': 0.6172980965705378, 'learning_rate': 0.034605675637344915, 'max_depth': 6.053971620494703, 'n_estimators': 473.2301777285274, 'reg_lambda': 24.282399655828506, 'subsample': 0.6030104670065835}"
40,-0.0010287078330293298,"{'colsample_bytree': 0.8006403479172365, 'learning_rate': 0.04215116396825893, 'max_depth': 9.595475032672285, 'n_estimators': 469.6090206627548, 'reg_lambda': 27.519414297196636, 'subsample': 0.3840329250489769}"
41,-0.0008556527318432927,"{'colsample_bytree': 0.9349552723971442, 'learning_rate': 0.09834277510899696, 'max_depth': 8.294925676690799, 'n_estimators': 422.77966899288987, 'reg_lambda': 19.126498713108717, 'subsample': 0.44284963478631056}"
42,-0.0010795872658491135,"{'colsample_bytree': 0.7765476610704518, 'learning_rate': 0.04872118346240346, 'max_depth': 6.480538334720204, 'n_estimators': 424.6191989509092, 'reg_lambda': 18.887829276533765, 'subsample': 0.32888661148132947}"
43,-0.000904168002307415,"{'colsample_bytree': 0.8869857747221356, 'learning_rate': 0.057964299844958905, 'max_depth': 6.598340678889664, 'n_estimators': 423.45150465236975, 'reg_lambda': 23.182051340163596, 'subsample': 0.5712663883039883}"
44,-0.000892477692104876,"{'colsample_bytree': 0.942229946912599, 'learning_rate': 0.06662952108499401, 'max_depth': 9.776375077648586, 'n_estimators': 424.50597228467666, 'reg_lambda': 21.82622994242289, 'subsample': 0.906986028512111}"
45,-0.0009127602679654956,"{'colsample_bytree': 0.9644206209955544, 'learning_rate': 0.09044176501345216, 'max_depth': 9.031474874947548, 'n_estimators': 422.6372283982432, 'reg_lambda': 25.021759685383724, 'subsample': 0.2292367390464743}"
46,-0.00132518180180341,"{'colsample_bytree': 0.691297992513189, 'learning_rate': 0.03974458893738548, 'max_depth': 8.305760014358157, 'n_estimators': 425.83831402642903, 'reg_lambda': 25.385262706735848, 'subsample': 0.24928721480258587}"
47,-0.0008659043814986944,"{'colsample_bytree': 0.939832279060753, 'learning_rate': 0.05913755020601848, 'max_depth': 7.016188526130118, 'n_estimators': 420.4206865996746, 'reg_lambda': 24.918293132735855, 'subsample': 0.5284788428905527}"
48,-0.0009696236811578274,"{'colsample_bytree': 0.9040769267133242, 'learning_rate': 0.02545850354935244, 'max_depth': 9.76534662455764, 'n_estimators': 421.6259598739381, 'reg_lambda': 22.304631082501157, 'subsample': 0.8824682041205796}"
49,-0.0009416561224497855,"{'colsample_bytree': 0.8836860897253891, 'learning_rate': 0.04319306423594097, 'max_depth': 3.824909759545677, 'n_estimators': 421.36170534658646, 'reg_lambda': 22.975841295655393, 'subsample': 0.4479832363125418}"
50,-0.0011994345113635063,"{'colsample_bytree': 0.650954186532873, 'learning_rate': 0.04413925693405295, 'max_depth': 9.370294034543942, 'n_estimators': 420.0344818606216, 'reg_lambda': 27.099935173183294, 'subsample': 0.9562506534516766}"
51,-0.0010281754657626152,"{'colsample_bytree': 0.7747332809799078, 'learning_rate': 0.07453888511185044, 'max_depth': 3.653091384006045, 'n_estimators': 419.92720861809846, 'reg_lambda': 26.540630746906498, 'subsample': 0.77751919472941}"
52,-0.0012068604119122028,"{'colsample_bytree': 0.6805627482102241, 'learning_rate': 0.03128017519520221, 'max_depth': 9.923569435773024, 'n_estimators': 424.6822074962812, 'reg_lambda': 17.979037552546966, 'subsample': 0.5952013501040758}"
53,-0.0013222279958426952,"{'colsample_bytree': 0.6481574168109232, 'learning_rate': 0.03043102034802702, 'max_depth': 5.235824270530953, 'n_estimators': 417.0255222185, 'reg_lambda': 24.742496307979597, 'subsample': 0.35471413941956076}"
54,-0.0009284541010856628,"{'colsample_bytree': 0.8649931317624926, 'learning_rate': 0.05188605031728738, 'max_depth': 4.580376039292098, 'n_estimators': 422.898034938125, 'reg_lambda': 25.206189291993617, 'subsample': 0.5512558589585677}"
55,-0.001650941907428205,"{'colsample_bytree': 0.7271596744835026, 'learning_rate': 0.012654908230887869, 'max_depth': 8.830363979084783, 'n_estimators': 411.7238646489987, 'reg_lambda': 22.515445125997978, 'subsample': 0.513483073671001}"
56,-0.0011013561161234975,"{'colsample_bytree': 0.6476529205953071, 'learning_rate': 0.08088414203370316, 'max_depth': 8.070116909193327, 'n_estimators': 467.52293709223966, 'reg_lambda': 23.737977093628515, 'subsample': 0.5689238371873034}"
57,-0.0009986893273890018,"{'colsample_bytree': 0.8433316683420289, 'learning_rate': 0.04505536141855712, 'max_depth': 3.3671379533873536, 'n_estimators': 424.10747687603055, 'reg_lambda': 22.03419898616521, 'subsample': 0.4255582756321065}"
58,-0.0010106940753757954,"{'colsample_bytree': 0.832783221294895, 'learning_rate': 0.05248380656786182, 'max_depth': 9.797740858181822, 'n_estimators': 430.92556768620335, 'reg_lambda': 10.40679807721679, 'subsample': 0.9463113213523149}"
59,-0.0009143370552919805,"{'colsample_bytree': 0.9444560277844535, 'learning_rate': 0.047217455988838, 'max_depth': 9.927545135320734, 'n_estimators': 473.30292202245187, 'reg_lambda': 29.530642841176494, 'subsample': 0.912730501199005}"
60,-0.0011341057252138853,"{'colsample_bytree': 0.6739015363330975, 'learning_rate': 0.08189234606520718, 'max_depth': 6.292569958020176, 'n_estimators': 429.5420568223298, 'reg_lambda': 12.34989087153811, 'subsample': 0.7922657765403467}"
61,-0.0008650345262140036,"{'colsample_bytree': 0.9563347107950226, 'learning_rate': 0.0990847535047893, 'max_depth': 8.520880385008514, 'n_estimators': 476.70546502744264, 'reg_lambda': 29.37424217119122, 'subsample': 0.7103265757662958}"
62,-0.0011635040864348412,"{'colsample_bytree': 0.6658503628824082, 'learning_rate': 0.06092756718633143, 'max_depth': 5.555100924936159, 'n_estimators': 475.26397909152683, 'reg_lambda': 29.666807186787146, 'subsample': 0.32850996626396145}"
63,-0.0011965034063905478,"{'colsample_bytree': 0.6652205731033328, 'learning_rate': 0.035791084641881396, 'max_depth': 9.957401423571994, 'n_estimators': 478.7067586988195, 'reg_lambda': 27.026717394892042, 'subsample': 0.5210311501241658}"
64,-0.0011534600052982569,"{'colsample_bytree': 0.6703947157458446, 'learning_rate': 0.04453211748927994, 'max_depth': 8.316519392983544, 'n_estimators': 422.83210076243796, 'reg_lambda': 21.42769244571337, 'subsample': 0.7985350953987267}"
65,-0.0011465342249721289,"{'colsample_bytree': 0.6564019377964136, 'learning_rate': 0.050593367408164655, 'max_depth': 5.877691788280874, 'n_estimators': 421.79525360025013, 'reg_lambda': 23.67785076770751, 'subsample': 0.4675966430720382}"
66,-0.0010051424615085125,"{'colsample_bytree': 0.805491474768719, 'learning_rate': 0.038435457265272345, 'max_depth': 9.855110228683758, 'n_estimators': 475.2675091249246, 'reg_lambda': 28.53797005010273, 'subsample': 0.8183862642802675}"
67,-0.0010297293774783611,"{'colsample_bytree': 0.7854041450188374, 'learning_rate': 0.0721926780810328, 'max_depth': 6.715151438117619, 'n_estimators': 421.6942535322277, 'reg_lambda': 26.669282774628922, 'subsample': 0.653363292748297}"
68,-0.0009675199398770928,"{'colsample_bytree': 0.8230496354482851, 'learning_rate': 0.06602712925618152, 'max_depth': 7.915130248816271, 'n_estimators': 421.92186771785157, 'reg_lambda': 17.75471064602698, 'subsample': 0.7261162717133385}"
69,-0.0011924216523766518,"{'colsample_bytree': 0.7339468453092863, 'learning_rate': 0.044696477962616055, 'max_depth': 7.672230963599409, 'n_estimators': 472.69573302559877, 'reg_lambda': 29.98410069433947, 'subsample': 0.23083389701036722}"
70,-0.0011394813191145658,"{'colsample_bytree': 0.6669491595591742, 'learning_rate': 0.05672027621339181, 'max_depth': 7.265405848178641, 'n_estimators': 418.6287857993359, 'reg_lambda': 12.444292614465516, 'subsample': 0.7124818264601582}"
71,-0.0010194946080446243,"{'colsample_bytree': 0.7359964843518146, 'learning_rate': 0.0967121553487757, 'max_depth': 8.781488529654265, 'n_estimators': 420.257392793329, 'reg_lambda': 24.46201078002625, 'subsample': 0.7343878676486422}"
72,-0.001560164149850607,"{'colsample_bytree': 0.7848515271372307, 'learning_rate': 0.015658912387651717, 'max_depth': 3.2931985844032576, 'n_estimators': 421.6672403254451, 'reg_lambda': 20.69498402618952, 'subsample': 0.27114430537316486}"
73,-0.0009753952035680413,"{'colsample_bytree': 0.8196274735376343, 'learning_rate': 0.06672977713337028, 'max_depth': 9.879724262090786, 'n_estimators': 471.740560487347, 'reg_lambda': 28.01328676540275, 'subsample': 0.7409302876062658}"
74,-0.0019670540932565928,"{'colsample_bytree': 0.6732013127379798, 'learning_rate': 0.012022060847884989, 'max_depth': 4.47030989970189, 'n_estimators': 424.40810944875943, 'reg_lambda': 23.817017826584237, 'subsample': 0.9186418052614269}"
75,-0.0011277617886662483,"{'colsample_bytree': 0.7031834377509874, 'learning_rate': 0.0638640847493561, 'max_depth': 8.747192048758745, 'n_estimators': 475.79108888235874, 'reg_lambda': 29.46631447158859, 'subsample': 0.45022903727790897}"
76,-0.0010155222844332457,"{'colsample_bytree': 0.8381238473894278, 'learning_rate': 0.0926048883938845, 'max_depth': 8.865479247491699, 'n_estimators': 477.068475280931, 'reg_lambda': 28.664404203125628, 'subsample': 0.9128430934244633}"
77,-0.0008825453114695847,"{'colsample_bytree': 0.8916745360588483, 'learning_rate': 0.09150598770344383, 'max_depth': 8.967705197386671, 'n_estimators': 419.3942237275954, 'reg_lambda': 11.448828092671882, 'subsample': 0.5272565503441143}"
78,-0.0009085405617952347,"{'colsample_bytree': 0.9043855273859442, 'learning_rate': 0.03735721153193627, 'max_depth': 9.707881608526032, 'n_estimators': 418.7174688405301, 'reg_lambda': 12.212912489954888, 'subsample': 0.6426513501947615}"
79,-0.0009087189682759345,"{'colsample_bytree': 0.8719043705656917, 'learning_rate': 0.08487798847540577, 'max_depth': 7.41040618103248, 'n_estimators': 471.37239796271217, 'reg_lambda': 27.477159523340656, 'subsample': 0.4232861249132913}"
80,-0.0009131421684287488,"{'colsample_bytree': 0.8839324312387735, 'learning_rate': 0.058478402185695756, 'max_depth': 4.515937452442998, 'n_estimators': 421.66999730348226, 'reg_lambda': 25.68621475655798, 'subsample': 0.6587794412993336}"
81,-0.0008769517298787832,"{'colsample_bytree': 0.9898758837516555, 'learning_rate': 0.06748359731215614, 'max_depth': 8.252111186643274, 'n_estimators': 423.1911238738903, 'reg_lambda': 23.25698570260071, 'subsample': 0.8215621142075269}"
82,-0.0010174610652029514,"{'colsample_bytree': 0.848870173257521, 'learning_rate': 0.03273789353342595, 'max_depth': 8.172761677208317, 'n_estimators': 478.0912204027603, 'reg_lambda': 29.765471217840506, 'subsample': 0.8012727587789834}"
83,-0.0012203722726553679,"{'colsample_bytree': 0.6253598800014034, 'learning_rate': 0.09619672376846876, 'max_depth': 7.228609175982672, 'n_estimators': 423.1283473520978, 'reg_lambda': 24.617235903642218, 'subsample': 0.4417533890770682}"
84,-0.0018085141200572252,"{'colsample_bytree': 0.7394326221568932, 'learning_rate': 0.010678610892008465, 'max_depth': 3.5393217068936007, 'n_estimators': 420.4001544390233, 'reg_lambda': 24.18340246355761, 'subsample': 0.8897494115892146}"
85,-0.0011005850974470377,"{'colsample_bytree': 0.6510449364684532, 'learning_rate': 0.09996896154858352, 'max_depth': 9.709968809912642, 'n_estimators': 423.25809506757685, 'reg_lambda': 23.67673012727557, 'subsample': 0.5608181107604742}"
86,-0.0010551244486123323,"{'colsample_bytree': 0.7770575861371654, 'learning_rate': 0.041972603850318736, 'max_depth': 7.947452925220933, 'n_estimators': 421.09274476814016, 'reg_lambda': 19.405959013752685, 'subsample': 0.688330736339229}"
87,-0.0008601787267252803,"{'colsample_bytree': 0.9735178285689445, 'learning_rate': 0.057767341158939695, 'max_depth': 3.3132769490808776, 'n_estimators': 415.38697338283646, 'reg_lambda': 14.73791226062054, 'subsample': 0.7165002501025366}"
