,target,params
26,-0.0030358056537806988,"{'colsample_bytree': 0.7072481642826173, 'learning_rate': 0.044829538764696614, 'max_depth': 4.1632761757179955, 'n_estimators': 467.5615055041111, 'reg_lambda': 29.358571606712623, 'subsample': 0.8261791313043807}"
27,-0.0025819602888077497,"{'colsample_bytree': 0.9417966424263249, 'learning_rate': 0.07232602076080343, 'max_depth': 6.522783090596285, 'n_estimators': 336.29489319042506, 'reg_lambda': 11.529294137584996, 'subsample': 0.4438496284465563}"
28,-0.003132461104542017,"{'colsample_bytree': 0.6952958238020877, 'learning_rate': 0.054653948131018266, 'max_depth': 5.505528567559657, 'n_estimators': 337.4818060598923, 'reg_lambda': 11.48069048650174, 'subsample': 0.6053692517620839}"
29,-0.002745239529758692,"{'colsample_bytree': 0.8759249505901953, 'learning_rate': 0.048000237322020876, 'max_depth': 6.646580910059505, 'n_estimators': 335.1112450969352, 'reg_lambda': 10.358758147162778, 'subsample': 0.7274482599426022}"
30,-0.003063126699998975,"{'colsample_bytree': 0.7056559675056117, 'learning_rate': 0.09496419438687742, 'max_depth': 6.565004261851149, 'n_estimators': 334.5625272400966, 'reg_lambda': 12.283202720766528, 'subsample': 0.4490457980399638}"
31,-0.0034370198845863342,"{'colsample_bytree': 0.7138344897850433, 'learning_rate': 0.09835072470823933, 'max_depth': 4.540575221689524, 'n_estimators': 335.1467212210075, 'reg_lambda': 10.564489838191948, 'subsample': 0.8828308315361508}"
32,-0.0026215664111077785,"{'colsample_bytree': 0.9466243751635988, 'learning_rate': 0.07646759342555254, 'max_depth': 8.21997807631551, 'n_estimators': 336.9419110085508, 'reg_lambda': 10.532148161500443, 'subsample': 0.8502090819120829}"
33,-0.003194233402609825,"{'colsample_bytree': 0.7352930368461146, 'learning_rate': 0.07159950141417919, 'max_depth': 8.152853101820883, 'n_estimators': 335.48796760888786, 'reg_lambda': 10.826701499500304, 'subsample': 0.8761228392191178}"
34,-0.002689606510102749,"{'colsample_bytree': 0.9453966325046019, 'learning_rate': 0.07909382524393253, 'max_depth': 8.271192259312265, 'n_estimators': 338.3558798943363, 'reg_lambda': 10.484883463755626, 'subsample': 0.932083576958719}"
35,-0.0025854124687612057,"{'colsample_bytree': 0.9765951608280148, 'learning_rate': 0.08136120933008087, 'max_depth': 7.027268508367015, 'n_estimators': 337.0211944779218, 'reg_lambda': 10.063339662314554, 'subsample': 0.4758818118647199}"
36,-0.002809852361679077,"{'colsample_bytree': 0.9430037364510786, 'learning_rate': 0.07886271631429796, 'max_depth': 8.14700478885986, 'n_estimators': 468.16611497255286, 'reg_lambda': 29.53796859525211, 'subsample': 0.25594997159599897}"
37,-0.003304954618215561,"{'colsample_bytree': 0.6020131996983666, 'learning_rate': 0.05685550525648544, 'max_depth': 9.759662656364728, 'n_estimators': 469.4533083464013, 'reg_lambda': 28.266239881599336, 'subsample': 0.48626570728173485}"
38,-0.0028934418223798275,"{'colsample_bytree': 0.8536292177214233, 'learning_rate': 0.08263477738987193, 'max_depth': 6.7494842023955295, 'n_estimators': 469.6201378094242, 'reg_lambda': 29.536157337805157, 'subsample': 0.987277147832621}"
39,-0.002731305779889226,"{'colsample_bytree': 0.8864332787467968, 'learning_rate': 0.0494425340451138, 'max_depth': 6.009683441919149, 'n_estimators': 468.0962700180214, 'reg_lambda': 27.682700550957506, 'subsample': 0.773809886613366}"
40,-0.00277921324595809,"{'colsample_bytree': 0.9006422865716648, 'learning_rate': 0.0960568441122694, 'max_depth': 7.496300530887248, 'n_estimators': 467.5762164778455, 'reg_lambda': 26.532318691103097, 'subsample': 0.2357940585094978}"
41,-0.002896122168749571,"{'colsample_bytree': 0.9301915135284968, 'learning_rate': 0.03953123487803927, 'max_depth': 5.933676887384527, 'n_estimators': 469.43989683582225, 'reg_lambda': 26.306125896934972, 'subsample': 0.22753543086177228}"
42,-0.002753211185336113,"{'colsample_bytree': 0.7890584807893144, 'learning_rate': 0.09909084279348951, 'max_depth': 6.4132676627192815, 'n_estimators': 467.27646656760703, 'reg_lambda': 24.29408357307812, 'subsample': 0.4750846672869381}"
43,-0.0026504495181143284,"{'colsample_bytree': 0.911026521254225, 'learning_rate': 0.030126367292911724, 'max_depth': 6.035519607039557, 'n_estimators': 466.456288842229, 'reg_lambda': 25.956668671646483, 'subsample': 0.7813219384003864}"
44,-0.0028049019165337086,"{'colsample_bytree': 0.8931478452363084, 'learning_rate': 0.09117560138212882, 'max_depth': 5.011941047416128, 'n_estimators': 467.75865975968566, 'reg_lambda': 25.549475599343353, 'subsample': 0.9746425722646668}"
45,-0.003461308777332306,"{'colsample_bytree': 0.6575990856360302, 'learning_rate': 0.023012138542419062, 'max_depth': 7.889940356434872, 'n_estimators': 465.4358422044495, 'reg_lambda': 25.69107959016921, 'subsample': 0.6620863628736346}"
46,-0.0035182528663426638,"{'colsample_bytree': 0.6002533114835419, 'learning_rate': 0.07247088378191259, 'max_depth': 4.862271137020034, 'n_estimators': 465.39358011244974, 'reg_lambda': 24.26657907767868, 'subsample': 0.8278089555601995}"
47,-0.0025449309032410383,"{'colsample_bytree': 0.9579339562200786, 'learning_rate': 0.0875770774126247, 'max_depth': 7.846707759508627, 'n_estimators': 469.0808556151959, 'reg_lambda': 24.632679872562875, 'subsample': 0.521914109751685}"
48,-0.002591401571407914,"{'colsample_bytree': 0.9250303626957638, 'learning_rate': 0.08320144301594498, 'max_depth': 6.244481765165943, 'n_estimators': 469.12199952710597, 'reg_lambda': 23.464053594053986, 'subsample': 0.527048213124497}"
49,-0.002599939703941345,"{'colsample_bytree': 0.8933929045743368, 'learning_rate': 0.05425598407288698, 'max_depth': 8.14255628543453, 'n_estimators': 469.2788702248777, 'reg_lambda': 23.145201197450724, 'subsample': 0.6619563002875322}"
50,-0.0026948328595608473,"{'colsample_bytree': 0.9310135572244573, 'learning_rate': 0.036102187271489436, 'max_depth': 6.6209046389472945, 'n_estimators': 471.7512775029774, 'reg_lambda': 23.516599212518365, 'subsample': 0.8691316887785969}"
51,-0.0028641235549002886,"{'colsample_bytree': 0.7906120348199502, 'learning_rate': 0.08043415210066046, 'max_depth': 6.228348455614423, 'n_estimators': 470.40712730641167, 'reg_lambda': 21.621323892203847, 'subsample': 0.7798638719137829}"
52,-0.0030656098388135433,"{'colsample_bytree': 0.7183388991413564, 'learning_rate': 0.03136632246398652, 'max_depth': 8.675972115859679, 'n_estimators': 470.94729974720565, 'reg_lambda': 23.374348367066734, 'subsample': 0.6766834848355685}"
53,-0.0026913827750831842,"{'colsample_bytree': 0.9781193496980447, 'learning_rate': 0.06300606132505042, 'max_depth': 7.73571753875496, 'n_estimators': 467.5302514149108, 'reg_lambda': 22.901068268460826, 'subsample': 0.24297562243913184}"
54,-0.0026851233560591936,"{'colsample_bytree': 0.9735183310328522, 'learning_rate': 0.04628272480907172, 'max_depth': 5.847635264853883, 'n_estimators': 470.6370273858673, 'reg_lambda': 24.058165894781173, 'subsample': 0.2868125955542648}"
55,-0.002944322768598795,"{'colsample_bytree': 0.7480557773174632, 'learning_rate': 0.09030092738478758, 'max_depth': 9.83387819890644, 'n_estimators': 467.9664966944808, 'reg_lambda': 23.35436528634712, 'subsample': 0.8240887875151017}"
56,-0.003869724227115512,"{'colsample_bytree': 0.6188338492872478, 'learning_rate': 0.01606228771658728, 'max_depth': 4.625592115368437, 'n_estimators': 472.8023802266421, 'reg_lambda': 22.511195862931096, 'subsample': 0.5474062844110068}"
57,-0.003166401758790016,"{'colsample_bytree': 0.6329941051304966, 'learning_rate': 0.08355011905945527, 'max_depth': 7.979680889011658, 'n_estimators': 468.8399064221146, 'reg_lambda': 21.07902137429873, 'subsample': 0.3106654048716724}"
58,-0.0026397232431918383,"{'colsample_bytree': 0.8517841429142108, 'learning_rate': 0.08613000638151805, 'max_depth': 7.493315270001507, 'n_estimators': 470.92710347428044, 'reg_lambda': 24.909328129911437, 'subsample': 0.37162650170942285}"
59,-0.0028203625697642565,"{'colsample_bytree': 0.7880896063019696, 'learning_rate': 0.07046094773174125, 'max_depth': 6.624553072910942, 'n_estimators': 472.1665541590377, 'reg_lambda': 26.556352465538744, 'subsample': 0.31635903779149654}"
