,trainning_time_consume(s),test_time_consume(s),epochs
0,4116.49330163002,0.49100303649902344,1000
1,2844.955781698227,0.5359985828399658,1000
2,4079.463460445404,0.8020005226135254,1000
3,1640.1814885139465,0.39600133895874023,1000
4,5686.147148609161,0.8020002841949463,1000
5,4167.503037929535,0.6680264472961426,1000
6,2923.468250274658,0.5580015182495117,1000
7,2800.824166536331,0.497025728225708,1000
8,3423.5473766326904,0.4870021343231201,1000
9,1200.5959959030151,0.3640229701995849,1000
10,2825.324363470077,0.5989997386932373,1000
11,2585.6840262413025,0.508512020111084,1000
12,3843.2392523288727,0.6639988422393799,1000
13,3795.037494659424,0.6099710464477539,1000
14,4528.292790412903,0.7170240879058838,1000
# cuda
