,trainning_time_consume(s),train_loss_record,test_loss_record,test_time_consume(s)
0,0.22730255126953125,3.861983299255371,0.10372216533869505,0.018336057662963867
1,0.4524846076965332,3.824429750442505,0.10372216533869505,0.018336057662963867
2,0.6777799129486084,3.2521908283233643,0.10372216533869505,0.018336057662963867
3,0.9037132263183594,4.140798568725586,0.10372216533869505,0.018336057662963867
4,1.1314706802368164,2.7823657989501953,0.10372216533869505,0.018336057662963867
5,1.3554680347442627,3.5048623085021973,0.10372216533869505,0.018336057662963867
6,1.5799548625946045,2.913682699203491,0.10372216533869505,0.018336057662963867
7,1.805694341659546,2.9006667137145996,0.10372216533869505,0.018336057662963867
8,2.0344648361206055,3.1412856578826904,0.10372216533869505,0.018336057662963867
9,2.247971773147583,3.480477809906006,0.10372216533869505,0.018336057662963867
10,2.4747655391693115,3.781440496444702,0.10372216533869505,0.018336057662963867
11,2.704455852508545,3.5035295486450195,0.10372216533869505,0.018336057662963867
12,2.928086042404175,3.3542325496673584,0.10372216533869505,0.018336057662963867
13,3.1560378074645996,3.0052456855773926,0.10372216533869505,0.018336057662963867
14,3.384096622467041,3.328432321548462,0.10372216533869505,0.018336057662963867
15,3.609851837158203,2.9105658531188965,0.10372216533869505,0.018336057662963867
16,3.838168144226074,3.1115028858184814,0.10372216533869505,0.018336057662963867
17,4.068332195281982,3.2402937412261963,0.10372216533869505,0.018336057662963867
18,4.298284530639648,2.9371790885925293,0.10372216533869505,0.018336057662963867
19,4.5195746421813965,3.595991373062134,0.10372216533869505,0.018336057662963867
20,4.751451015472412,2.917658805847168,0.10372216533869505,0.018336057662963867
21,4.97733211517334,2.8979809284210205,0.10372216533869505,0.018336057662963867
22,5.197116851806641,3.354841947555542,0.10372216533869505,0.018336057662963867
23,5.420888900756836,2.900911331176758,0.10372216533869505,0.018336057662963867
24,5.6529693603515625,3.3346781730651855,0.10372216533869505,0.018336057662963867
25,5.881668329238892,3.2003471851348877,0.10372216533869505,0.018336057662963867
26,6.108964920043945,3.1013784408569336,0.10372216533869505,0.018336057662963867
27,6.336313486099243,3.2361581325531006,0.10372216533869505,0.018336057662963867
28,6.561312198638916,3.2375447750091553,0.10372216533869505,0.018336057662963867
29,6.789184331893921,3.686199426651001,0.10372216533869505,0.018336057662963867
