,target,params
26,-0.0009862821316346526,"{'colsample_bytree': 0.7486717035361865, 'learning_rate': 0.03428105993172925, 'max_depth': 4.524352876841923, 'n_estimators': 404.47845076843885, 'reg_lambda': 13.140799835256093, 'subsample': 0.7814293040424329}"
27,-0.0009823414729908109,"{'colsample_bytree': 0.7184932664028557, 'learning_rate': 0.08124684588976343, 'max_depth': 3.643530375766455, 'n_estimators': 487.2434081592743, 'reg_lambda': 21.28198273109996, 'subsample': 0.7290378752973827}"
28,-0.0010920289205387235,"{'colsample_bytree': 0.6337608253013358, 'learning_rate': 0.060889758924890264, 'max_depth': 7.556421064436679, 'n_estimators': 477.3427924954969, 'reg_lambda': 10.93915462798864, 'subsample': 0.6638569621231767}"
29,-0.0009907210478559136,"{'colsample_bytree': 0.7145794163860217, 'learning_rate': 0.05470742472066342, 'max_depth': 5.474087445491392, 'n_estimators': 464.26910691597584, 'reg_lambda': 24.140481542750432, 'subsample': 0.6018138849540074}"
30,-0.0008924278081394732,"{'colsample_bytree': 0.9645971625397298, 'learning_rate': 0.04826342446559807, 'max_depth': 6.8440321987628465, 'n_estimators': 331.05827581556343, 'reg_lambda': 17.381273534336813, 'subsample': 0.30851576660429764}"
31,-0.0010659847175702453,"{'colsample_bytree': 0.6264229336962771, 'learning_rate': 0.08556788947715008, 'max_depth': 8.714147847928139, 'n_estimators': 478.7820031786549, 'reg_lambda': 22.30495282348351, 'subsample': 0.4283491966392672}"
32,-0.0009544444037601352,"{'colsample_bytree': 0.7575981021883478, 'learning_rate': 0.05990893811747437, 'max_depth': 8.242920184184353, 'n_estimators': 466.3497699393156, 'reg_lambda': 29.20911507238667, 'subsample': 0.7689811724988458}"
33,-0.0009303377592004836,"{'colsample_bytree': 0.8339457411373927, 'learning_rate': 0.08846608092650823, 'max_depth': 3.777604000608981, 'n_estimators': 336.74303491452736, 'reg_lambda': 10.425610039553073, 'subsample': 0.7623891784742174}"
34,-0.001007021521218121,"{'colsample_bytree': 0.7202530459427191, 'learning_rate': 0.07836058303003174, 'max_depth': 4.7050613778420365, 'n_estimators': 344.4801158789754, 'reg_lambda': 14.968120317781699, 'subsample': 0.5952992791997771}"
35,-0.0010444570798426867,"{'colsample_bytree': 0.7161306882708711, 'learning_rate': 0.054728212630849184, 'max_depth': 7.238353191172868, 'n_estimators': 395.0426404635865, 'reg_lambda': 10.999155328039267, 'subsample': 0.8741274102671495}"
36,-0.001158401370048523,"{'colsample_bytree': 0.6645941930974117, 'learning_rate': 0.03749095645287904, 'max_depth': 7.700831209157829, 'n_estimators': 353.43596697099775, 'reg_lambda': 19.12268267067499, 'subsample': 0.23532251061690773}"
37,-0.000858727958984673,"{'colsample_bytree': 0.9259257182730145, 'learning_rate': 0.07178231274371881, 'max_depth': 8.88330782790866, 'n_estimators': 494.45762908155086, 'reg_lambda': 29.02304415265908, 'subsample': 0.6487173011819813}"
38,-0.0009609741973690689,"{'colsample_bytree': 0.9299930296615053, 'learning_rate': 0.023458533028602305, 'max_depth': 3.9937342177625395, 'n_estimators': 432.4866176386553, 'reg_lambda': 14.429956139280238, 'subsample': 0.2013614308588707}"
39,-0.0009724701521918178,"{'colsample_bytree': 0.8242995446741885, 'learning_rate': 0.05577380474918804, 'max_depth': 5.269948802099059, 'n_estimators': 367.0126178742745, 'reg_lambda': 23.856723771372938, 'subsample': 0.2613696690819405}"
40,-0.0010730185313150287,"{'colsample_bytree': 0.6393853924491915, 'learning_rate': 0.09229015005641601, 'max_depth': 4.486706827520321, 'n_estimators': 399.9843172729802, 'reg_lambda': 19.79061057097516, 'subsample': 0.6063338898478707}"
41,-0.0010937799233943224,"{'colsample_bytree': 0.6429705171655605, 'learning_rate': 0.09178009226669284, 'max_depth': 9.938493342047309, 'n_estimators': 398.08063069174955, 'reg_lambda': 13.99122916516961, 'subsample': 0.3771144322056015}"
42,-0.0011225553462281823,"{'colsample_bytree': 0.6786277526265007, 'learning_rate': 0.0477979631859733, 'max_depth': 6.727782277115095, 'n_estimators': 331.3759820436264, 'reg_lambda': 17.612290783251396, 'subsample': 0.24490905986860625}"
43,-0.0009697384084574878,"{'colsample_bytree': 0.9140573048511924, 'learning_rate': 0.01516265937239284, 'max_depth': 3.226239289918639, 'n_estimators': 347.0307476141484, 'reg_lambda': 11.18191731798396, 'subsample': 0.7397566595173417}"
44,-0.0009703988907858729,"{'colsample_bytree': 0.7875569410481629, 'learning_rate': 0.032192657438924493, 'max_depth': 8.937369975093644, 'n_estimators': 494.5414895096185, 'reg_lambda': 28.855576441150653, 'subsample': 0.9599382659601194}"
45,-0.0009685392724350095,"{'colsample_bytree': 0.780541497741822, 'learning_rate': 0.0748573422408508, 'max_depth': 4.1739727197028, 'n_estimators': 313.74848802361294, 'reg_lambda': 16.788921300478776, 'subsample': 0.9528248938830988}"
46,-0.0008941001142375171,"{'colsample_bytree': 0.8744144842449649, 'learning_rate': 0.09363537255974799, 'max_depth': 9.514743650742846, 'n_estimators': 399.4924383030357, 'reg_lambda': 21.7287217541136, 'subsample': 0.5721197538459324}"
47,-0.000934295472688973,"{'colsample_bytree': 0.7855159928198393, 'learning_rate': 0.0652523941419701, 'max_depth': 8.322972426568478, 'n_estimators': 353.40416290389965, 'reg_lambda': 11.072721672930951, 'subsample': 0.6799135499042563}"
48,-0.0008940891129896045,"{'colsample_bytree': 0.8993110099614268, 'learning_rate': 0.06131047084165011, 'max_depth': 3.848481570759063, 'n_estimators': 334.31538180191365, 'reg_lambda': 26.89477234102139, 'subsample': 0.599378721166092}"
49,-0.0009152845595963299,"{'colsample_bytree': 0.8104801817524326, 'learning_rate': 0.07694041658041081, 'max_depth': 4.1950964907527, 'n_estimators': 432.53739902116473, 'reg_lambda': 14.221962119048882, 'subsample': 0.8537289176792822}"
50,-0.0008987458422780037,"{'colsample_bytree': 0.8802057969584094, 'learning_rate': 0.06769543095020462, 'max_depth': 9.025917081154068, 'n_estimators': 494.5148161132895, 'reg_lambda': 28.875300448301054, 'subsample': 0.49702979036886996}"
51,-0.00092088378733024,"{'colsample_bytree': 0.8631719598525694, 'learning_rate': 0.09981879087660633, 'max_depth': 5.493617307785815, 'n_estimators': 430.99847860686475, 'reg_lambda': 29.230348377461432, 'subsample': 0.40338771014589503}"
52,-0.0009649833664298058,"{'colsample_bytree': 0.7522767700267765, 'learning_rate': 0.08126855149089451, 'max_depth': 8.50327796019145, 'n_estimators': 368.13774361492415, 'reg_lambda': 29.748637575900098, 'subsample': 0.8456305375659896}"
53,-0.0010906289098784328,"{'colsample_bytree': 0.7132244062561112, 'learning_rate': 0.02038949696965079, 'max_depth': 8.82054604079562, 'n_estimators': 494.6291370704562, 'reg_lambda': 29.436063931680646, 'subsample': 0.5613280777148364}"
54,-0.0008492046617902815,"{'colsample_bytree': 0.9511144721946163, 'learning_rate': 0.05392211548418653, 'max_depth': 3.1406657253662997, 'n_estimators': 418.90664971328175, 'reg_lambda': 12.926201280300374, 'subsample': 0.5220891295443937}"
55,-0.0009246857953257859,"{'colsample_bytree': 0.8222603420721111, 'learning_rate': 0.07008854955808165, 'max_depth': 5.935521272837853, 'n_estimators': 430.82516494876404, 'reg_lambda': 29.11481884821464, 'subsample': 0.4003875059323105}"
56,-0.0009621662320569158,"{'colsample_bytree': 0.8261069446281242, 'learning_rate': 0.03689076494799111, 'max_depth': 8.401951239078066, 'n_estimators': 381.9339966569499, 'reg_lambda': 24.713395317039186, 'subsample': 0.3741464012869045}"
57,-0.0010218971874564886,"{'colsample_bytree': 0.7532448658526041, 'learning_rate': 0.06721664249298956, 'max_depth': 7.137417078165663, 'n_estimators': 321.4821171552044, 'reg_lambda': 28.263854891761156, 'subsample': 0.3317844051591532}"
58,-0.000943891063798219,"{'colsample_bytree': 0.7731259421218896, 'learning_rate': 0.05494019379674567, 'max_depth': 3.196618031862189, 'n_estimators': 418.62996977946193, 'reg_lambda': 13.314768161410928, 'subsample': 0.8116758734885197}"
59,-0.0008609816431999207,"{'colsample_bytree': 0.9656622167046803, 'learning_rate': 0.03819315131563785, 'max_depth': 9.607329233687858, 'n_estimators': 399.3458452720499, 'reg_lambda': 21.32679303935457, 'subsample': 0.4604549588504358}"
60,-0.001069103367626667,"{'colsample_bytree': 0.6660193517222194, 'learning_rate': 0.0493516010967855, 'max_depth': 5.671182258987929, 'n_estimators': 354.8663515857447, 'reg_lambda': 14.031138958847295, 'subsample': 0.3669731251882943}"
61,-0.00100564060267061,"{'colsample_bytree': 0.7017740889655252, 'learning_rate': 0.09391686293350432, 'max_depth': 6.553597535749635, 'n_estimators': 387.365492044189, 'reg_lambda': 25.84660182256259, 'subsample': 0.49051263320035887}"
62,-0.0009513671393506229,"{'colsample_bytree': 0.8206393545589202, 'learning_rate': 0.060315735590967194, 'max_depth': 5.652951213476499, 'n_estimators': 362.6650073728105, 'reg_lambda': 16.25660620403125, 'subsample': 0.2727730607359138}"
63,-0.0009636258473619819,"{'colsample_bytree': 0.7783745742313033, 'learning_rate': 0.08705314166610809, 'max_depth': 8.95042481704158, 'n_estimators': 399.19065397324897, 'reg_lambda': 21.41874631648796, 'subsample': 0.33392212940815424}"
64,-0.0009091388201341033,"{'colsample_bytree': 0.9793981607171482, 'learning_rate': 0.05043940710039351, 'max_depth': 6.482224799607083, 'n_estimators': 390.9336367210935, 'reg_lambda': 11.891800963201096, 'subsample': 0.2108118766468846}"
65,-0.0011021262034773827,"{'colsample_bytree': 0.6366309166498294, 'learning_rate': 0.09286449922953925, 'max_depth': 6.485929593545075, 'n_estimators': 390.62798852934, 'reg_lambda': 11.816756893225577, 'subsample': 0.522964776212024}"
66,-0.0009002455626614392,"{'colsample_bytree': 0.9575421659164636, 'learning_rate': 0.06213257005864549, 'max_depth': 9.032345546503102, 'n_estimators': 381.42030390509444, 'reg_lambda': 25.589686868379825, 'subsample': 0.3332972866296803}"
67,-0.0009897849522531033,"{'colsample_bytree': 0.6995769968059862, 'learning_rate': 0.07426447003826939, 'max_depth': 8.430820688310046, 'n_estimators': 453.4891816269135, 'reg_lambda': 28.17954453828773, 'subsample': 0.8488147236682084}"
68,-0.001055878004990518,"{'colsample_bytree': 0.6673936569718593, 'learning_rate': 0.04726891414931368, 'max_depth': 8.399853614618955, 'n_estimators': 382.7315007204537, 'reg_lambda': 25.11199775248535, 'subsample': 0.6243077706243705}"
69,-0.0008720278856344521,"{'colsample_bytree': 0.9237887051457494, 'learning_rate': 0.07918305490161158, 'max_depth': 9.850587341072815, 'n_estimators': 399.3554596099215, 'reg_lambda': 20.927967505283064, 'subsample': 0.4197350124918046}"
70,-0.0015384058933705091,"{'colsample_bytree': 0.8424156722713873, 'learning_rate': 0.011346971245061132, 'max_depth': 9.087044029318541, 'n_estimators': 317.65196743380784, 'reg_lambda': 17.10352331318899, 'subsample': 0.6831532648913816}"
71,-0.0010487945983186364,"{'colsample_bytree': 0.6619790302582895, 'learning_rate': 0.07640153791654054, 'max_depth': 4.0554099203998675, 'n_estimators': 327.1385222038264, 'reg_lambda': 23.5180991065848, 'subsample': 0.4197817729044596}"
72,-0.0011294990545138717,"{'colsample_bytree': 0.7528249829471412, 'learning_rate': 0.029619790334555585, 'max_depth': 8.806652052289358, 'n_estimators': 381.1848902403717, 'reg_lambda': 25.123211580637857, 'subsample': 0.23292421677976752}"
